,id,project_name,user_name,num_screens,b_component_event,b_component_method,b_component_set_get,b_lexical_variable_get,b_logic_false,b_math_add,b_math_division,b_math_number,b_math_random_int,b_math_subtract,c_Button,c_Canvas,c_Clock,c_HorizontalArrangement,num_blocks,num_components,b_color_blue,b_color_cyan,b_color_magenta,b_color_orange,b_color_pink,b_color_yellow,c_Label,c_TableArrangement,b_color_green,b_color_make_color,b_color_red,b_global_declaration,b_lists_create_with,c_AccelerometerSensor,c_Slider,b_controls_if,b_lexical_variable_set,b_logic_boolean,b_math_compare,b_text,b_text_join,c_Camera,c_VerticalArrangement,b_logic_compare,b_procedures_callnoreturn,b_procedures_defnoreturn,b_text_contains,c_ActivityStarter,c_LocationSensor,c_Notifier,c_Sound,c_TextToSpeech,c_TextBox,c_Image,c_ListPicker,c_ListView,c_PasswordTextBox,c_WebViewer,b_math_multiply,b_controls_forRange,b_lists_is_list,b_lists_length,b_lists_select_item,b_text_split,c_TinyWebDB,b_text_compare,c_OrientationSensor,c_Player,c_SoundRecorder,c_CheckBox,c_SpeechRecognizer,b_color_black,b_color_gray,b_math_random_float,b_logic_or,b_text_isEmpty,b_component_component_block,b_controls_openAnotherScreen,c_PhoneCall,b_controls_forEach,b_controls_closeApplication,b_controls_closeScreen,c_TinyDB,b_controls_eval_but_ignore,c_BluetoothClient,b_color_white,b_text_changeCase,b_local_declaration_statement,b_math_floor,c_Web,b_controls_while,b_logic_operation,b_lists_add_items,b_text_length,c_Texting,c_PhoneNumberPicker,b_logic_negate,c_Spinner,b_procedures_callreturn,b_procedures_defreturn,b_text_replace_all,c_FusiontablesControl,b_lists_from_csv_table,b_text_segment,b_math_power,b_controls_getStartValue,b_controls_openAnotherScreenWithStartValue,b_lists_remove_item,b_lists_is_empty,b_lists_is_in,b_math_round,b_text_trim,b_lists_pick_random_item,c_BluetoothServer,c_File,c_NearField,c_Sharing,b_controls_do_then_return,c_DatePicker,c_NxtColorSensor,c_NxtLightSensor,b_color_light_gray,c_ImagePicker,b_math_divide,b_lists_position_in,b_lists_replace_item,b_local_declaration_expression,b_math_single,b_lists_from_csv_row,b_controls_choose,b_math_cos,c_BarcodeScanner,b_controls_closeScreenWithValue,b_controls_closeScreenWithPlainText,b_lists_insert_item,b_lists_lookup_in_pairs,b_text_split_at_spaces,c_Camcorder,b_text_starts_at,b_lists_copy,b_math_is_a_number,b_math_format_as_decimal,c_TimePicker,c_VideoPlayer,b_color_dark_gray,b_math_atan2,c_ContactPicker,c_NxtSoundSensor,c_Twitter,c_NxtDirectCommands,c_NxtDrive,c_NxtTouchSensor,c_NxtUltrasonicSensor,b_math_abs,b_math_on_list,b_color_split_color,b_compondnt_set_get,b_compongnt_set_get,c_EmailPicker,c_YandexTranslate,b_controls_getPlainStartText,b_math_neg,b_compthreent_set_get,b_comptwont_set_get,b_math_convert_angles,b_lists_to_csv_table,b_math_trig,b_math_ceiling,b_math_tan,b_lists_to_csv_row,b_lists_append_list,b_math_random_set_seed,c_ProximitySensor,b_obsufcated_text
0,4503600801775616,spaceinvaders,izzydafindon,1.0,7.0,1.0,19.0,1.0,4.0,2.0,1.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4503601506418688,draw,7724,1.0,1.0,1.0,,3.0,,,,,,,,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4503601917460480,flaggenerator18,scgs111064,1.0,6.0,,6.0,,,,,,,,,,,1.0,19.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4503602572820480,paintpot_random,808JRyan92,1.0,7.0,3.0,8.0,8.0,,,,10.0,,,,1.0,,,46.0,6.0,1.0,,,,,,,,1.0,3.0,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4503603176800256,pongkeyur,keyurpanchal1208,1.0,6.0,4.0,15.0,7.0,1.0,1.0,2.0,11.0,1.0,1.0,,1.0,,1.0,59.0,3.0,,,,,,,1.0,,,,,1.0,,,,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4503603769245696,image,h00227559,1.0,3.0,,7.0,1.0,3.0,,,,,,2.0,,,,17.0,4.0,,,,,,,,,,,,,,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4503605315895296,app3t,yiher_chang,1.0,4.0,2.0,4.0,6.0,,,,,,,,1.0,,,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4503606143221760,zombielocatoe,northbest71,1.0,6.0,6.0,20.0,5.0,2.0,,2.0,5.0,,,,,,1.0,80.0,9.0,,,,,,,1.0,,,,,2.0,,1.0,,3.0,2.0,2.0,1.0,17.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4503606162096128,helloworld1,20127681,1.0,1.0,,1.0,,,,,,,,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4503607765368832,spaceship,Nuhauskis,1.0,7.0,1.0,19.0,1.0,3.0,2.0,1.0,8.0,2.0,3.0,,1.0,1.0,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
